Month,Product_A,Product_B,Product_C,Product_D,Total_Sales,Average_Sales,Month_over_Month_Growth,Quarter,Max_Sales_Product,Min_Sales_Product
2025-01-01,51,61,24,13,149,37.25,0.0,Q1,Product_B,Product_D
2025-02-01,72,41,59,10,182,45.5,22.14765100671141,Q1,Product_A,Product_D
2025-03-01,88,74,49,14,225,56.25,23.62637362637363,Q1,Product_A,Product_D
2025-04-01,96,60,52,13,221,55.25,-1.7777777777777781,Q2,Product_A,Product_D
2025-05-01,77,48,30,33,188,47.0,-14.932126696832581,Q2,Product_A,Product_C
2025-06-01,89,45,29,31,194,48.5,3.1914893617021267,Q2,Product_A,Product_C
2025-07-01,91,37,59,47,234,58.5,20.618556701030922,Q3,Product_A,Product_B
2025-08-01,93,72,37,32,234,58.5,0.0,Q3,Product_A,Product_D
2025-09-01,100,42,20,17,179,44.75,-23.50427350427351,Q3,Product_A,Product_D
2025-10-01,60,71,46,31,208,52.0,16.201117318435763,Q4,Product_B,Product_D
2025-11-01,93,50,60,11,214,53.5,2.8846153846153744,Q4,Product_A,Product_D
2025-12-01,62,39,56,16,173,43.25,-19.158878504672895,Q4,Product_A,Product_D
